STATEFP,COUNTYFP,COUNTYNS,GEOID,GEOIDFQ,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,nlcd_11,nlcd_12,nlcd_21,nlcd_22,nlcd_23,nlcd_24,nlcd_31,nlcd_41,nlcd_42,nlcd_43,nlcd_52,nlcd_71,nlcd_81,nlcd_82,nlcd_90,nlcd_95,nlcd_NODATA
06,091,00277310,06091,0500000US06091,Sierra,Sierra County,06,H1,G4020,,,,A,2468694578,23299110,39.5769252,-120.5219926,22102,7,62672,20310,1265,120,3972,5040,1942750,0,475545,120989,23973,6932,17992,65199,0
06,067,00277298,06067,0500000US06067,Sacramento,Sacramento County,06,H1,G4020,472,40900,,A,2500063005,75323439,38.4501363,-121.3443291,84729,0,177004,321294,424622,83234,17331,2000,773,94,19842,807952,16349,812837,25601,67906,0
06,083,00277306,06083,0500000US06083,Santa Barbara,Santa Barbara County,06,H1,G4020,,42200,,A,7080874935,2729198796,34.5366774,-120.0383645,3012730,0,170146,152580,109545,13037,37693,1871,340495,452469,4773863,1300172,14612,419711,45485,55572,68
06,009,01675885,06009,0500000US06009,Calaveras,Calaveras County,06,H1,G4020,,,,A,2641829627,43797225,38.1910682,-120.5541065,64586,0,118918,41730,7866,844,3760,93193,1103162,1662,839736,697346,370,2936,7154,789,0
06,111,00277320,06111,0500000US06111,Ventura,Ventura County,06,H1,G4020,348,37100,,A,4767585000,947376202,34.3587477,-119.1331453,1033270,0,141555,222470,241927,31037,25533,937,393203,78384,3274437,480599,7818,342873,35297,40608,28
06,037,00277283,06037,0500000US06037,Los Angeles,Los Angeles County,06,H1,G4020,348,31080,31084,A,10515988121,1785003256,34.1963983,-118.2618616,1888690,0,447895,1019760,1903237,638965,47893,1662,328192,153032,5938861,1047152,30899,98780,44345,18957,59435
06,097,01657246,06097,0500000US06097,Sonoma,Sonoma County,06,H1,G4020,,42220,,A,4080103614,497291856,38.5251824,-122.9261095,548180,0,199387,182713,130408,20380,9498,14311,1272617,205928,1207856,926971,40237,235371,22953,69163,11
06,031,00277280,06031,0500000US06031,Kings,Kings County,06,H1,G4020,260,25260,,A,3602601921,3164290,36.072478,-119.8155301,81145,0,93134,139690,75759,6550,41416,0,50,642,45458,974226,7231,2507524,622,32971,0
06,073,00277301,06073,0500000US06073,San Diego,San Diego County,06,H1,G4020,,41740,,A,10905039592,816542690,33.0236041,-116.7761174,833565,0,571189,715256,763187,143708,673028,11215,301841,244523,7875891,609309,13278,30058,92124,108604,37191
06,061,00277295,06061,0500000US06061,Placer,Placer County,06,H1,G4020,472,40900,,A,3644330331,246442517,39.0620323,-120.7227181,269836,6,228556,165828,137182,18499,15701,72759,1932826,555,707917,557557,17926,169027,21087,7848,0
